**** PROYECTO YAYACC ****
- Jocelyn de León
- Kevin Romero
- José De León

EXPRESIÓN VÁLIDA
11/22/2021 5:13:33 PM

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
STATES                                                                                              |STACK                                                                                                                                                      |ACTION  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0  3                                                                                                |#           the                                                                                                                                            |S3      
0  3                                                                                                |#           the                                                                                                                                            |R2      
0  3                                                                                                |#           the                                                                                                                                            |S3      
0  3                                                                                                |#           the                                                                                                                                            |R2      
0  2  6                                                                                             |#           A           happy                                                                                                                              |S6      
0  2  6                                                                                             |#           A           happy                                                                                                                              |R4      
0  2  5  8                                                                                          |#           A           C           cat                                                                                                                    |S8      
0  2  5  8                                                                                          |#           A           C           cat                                                                                                                    |R3      
0  2  4                                                                                             |#           A           B                                                                                                                                  |R1      
0  1                                                                                                |#           S                                                                                                                                              |ACCEPTED

